PC1,PC2,PC3,PC4,PC5
1.5460337290335042,-0.9784973011810253,-0.2684154488895141,0.5910549082126361,-2.6530672018106
0.8785007137839123,1.4487859422522162,-1.9911292448576674,0.8549736771447151,0.08075887397018279
1.233636324286366,0.9020433650530936,2.8724871350104397,0.5462685716105614,0.42120353270691513
-0.01954913442381934,1.38479088760343,-3.4843744934655003,-0.7232177924953439,1.992907706435151
-1.2448685734044074,0.24210088241589592,-0.6896686185940913,1.724747304212495,-1.1875539534830075
0.8637154299755861,-0.11655192341178183,0.9890519174884818,0.7004351064323101,0.16045204415977493
0.9239509182480052,-0.6093248016731303,0.3466668258443682,-0.8360945091283617,0.3678635229416923
1.6811220075525104,1.6575286203831991,1.844580915865416,2.599299005660223,-0.6466553193178387
-4.728487348109264,-0.8964747923295551,-1.3141836995144476,1.7679704455661063,-2.83438843036022
1.5479010379273428,2.3309905868672156,0.0573755162750089,-0.7541219901347245,-0.06275666641904075
-3.960737082762093,0.7135629373891477,1.1626189589741374,-0.5520617922660621,0.28401673069136757
1.6309628376882996,0.9672726662257337,-1.2586112877078195,-2.890684094060846,0.7795238355600411
-1.2476330515862049,2.805813767448566,-2.324160652944742,1.4836971376980148,-1.6043358448429947
1.3725133114334078,0.31884040939138386,1.6927444158517395,1.0598884675737945,0.9495523807741657
0.4393262203903297,0.49972026788480545,-3.1805457148571663,1.141200989302043,0.01315105007336243
-0.43335221032326593,-0.18554777812296214,0.4217935574247316,-0.35916033347994036,0.824441706225263
0.9105151644177472,0.06245614389433828,1.9025284687796125,0.8013654899118959,1.3114746655745015
1.1703965305700144,-1.07537382985592,0.8426003271877838,2.2973413530737514,-3.8641842999124316
2.3558368702313945,2.064190801383235,0.4761641936132448,0.6573641659841805,0.48580665233808423
0.8321920845370285,2.2299416980331532,-0.5272862711437745,0.6559726586668634,0.1060390189339916
0.6066132907702859,-0.5555660324039333,0.7141689492379584,0.44490503678105425,0.847266129259718
0.46000768472006404,-0.13800053904690285,0.7536456473337774,0.6395040593979074,0.7640480587540025
